Date,R_AAPL,R_CSCO,R_HD,R_VZ,RF,Rm-Rf,RW5000,RW5000-RF
1990/2/1,0,,0.131672555,-0.08056272,0.0057,0.0111,0.011981128,0.006281128
1990/3/1,0.183825201,,0.150943242,0.050069539,0.0064,0.0183,0.022572789,0.016172789
1990/4/1,-0.021737739,0.010637646,0.021858052,-0.009271484,0.0069,-0.0336,-0.030893881,-0.037793881
1990/5/1,0.047618777,0.042114837,0.29679136,0.114973269,0.0068,0.0842,0.087049549,0.080249549
1990/6/1,0.084848386,0.070702134,-0.04742258,-0.047961655,0.0063,-0.0109,-0.006991446,-0.013291446
1990/7/1,-0.061453521,-0.037733388,-0.11038967,-0.005037768,0.0068,-0.019,-0.011683904,-0.018483904
1990/8/1,-0.119048,-0.029409772,-0.010948993,-0.13417719,0.0066,-0.1015,-0.097731919,-0.104331919
1990/9/1,-0.21621458,-0.09091438,-0.103320941,0.105263147,0.006,-0.0612,-0.05706707,-0.06306707
1990/10/1,0.060344728,0.3111168,-0.032921778,0.105820064,0.0068,-0.0192,-0.015750171,-0.022550171
1990/11/1,0.195120086,0.338979411,0.217021167,0.04066984,0.0057,0.0635,0.063878147,0.058178147
1990/12/1,0.170069333,0.136074311,0.080419599,-0.013793062,0.006,0.0246,0.028636655,0.022636655
1991/1/1,0.290696978,0.303620938,0.119741247,-0.095571074,0.0052,0.0469,0.046428014,0.041228014
1991/2/1,0.031531513,-0.042737231,0.127167491,0.010309247,0.0048,0.0719,0.073797893,0.068997893
1991/3/1,0.187772541,-0.129461439,0.107692342,0.048469399,0.0044,0.0265,0.02835698,0.02395698
1991/4/1,-0.191177367,0.220510306,0.06481475,-0.026764017,0.0053,-0.0028,0.001185935,-0.004114065
1991/5/1,-0.145453509,0.084033166,0.145652331,-0.057499982,0.0047,0.0365,0.036617352,0.031917352
1991/6/1,-0.117020896,-0.054260174,0.027514176,0.002652535,0.0042,-0.0494,-0.04673731,-0.05093731
1991/7/1,0.114455815,0.286880447,0.074792242,0.013227496,0.0049,0.0424,0.045246448,0.040346448
1991/8/1,0.145946443,0.156052229,0.110824699,0.041775469,0.0046,0.0232,0.02405634,0.01945634
1991/9/1,-0.066037776,-0.09641896,0.011601021,-0.087719276,0.0046,-0.0159,-0.013454419,-0.018054419
1991/10/1,0.040403743,0.189026489,0.045871428,0.032967029,0.0042,0.0129,0.016853749,0.012653749
1991/11/1,-0.014562188,0.015383616,0.057017529,-0.03457448,0.0039,-0.0419,-0.041262617,-0.045162617
1991/12/1,0.110836966,0.338382545,0.118257319,0.063360859,0.0038,0.1084,0.107153748,0.103353748
1992/1/1,0.148559247,0.133962514,-0.085343244,-0.044041432,0.0034,-0.0059,-0.003298626,-0.006698626
1992/2/1,0.042471784,0.084858952,0.038539571,-0.056910564,0.0028,0.0109,0.01079505,0.00799505
1992/3/1,-0.137038125,-0.030674662,0.011718703,-0.045976973,0.0034,-0.0266,-0.026945029,-0.030345029
1992/4/1,0.032188722,-0.07594999,-0.036679415,0.069277081,0.0032,0.0107,0.011904409,0.008704409
1992/5/1,-0.006236611,0.253426414,0.132264424,-0.028169027,0.0028,0.003,0.003193059,0.000393059
1992/6/1,-0.196653308,0.027322215,-0.047787612,0.031884089,0.0032,-0.0234,-0.022673059,-0.025873059
1992/7/1,-0.026040026,0.13563723,0.120817877,0.067415671,0.0031,0.0377,0.039060338,0.035960338
1992/8/1,-0.016044139,-0.121778883,0.062189015,0.021052661,0.0026,-0.0238,-0.024205124,-0.026805124
1992/9/1,-0.019020535,0.127999422,0.037470802,0.005154623,0.0026,0.0119,0.009877066,0.007277066
1992/10/1,0.163434284,0.134751319,0.045146653,-0.023076921,0.0023,0.0102,0.010789274,0.008489274
1992/11/1,0.0952384,0.245833298,0.053995751,-0.013123343,0.0023,0.0413,0.038259229,0.035959229
1992/12/1,0.039129867,0.051840022,0.106557341,0.090425585,0.0028,0.0153,0.015705337,0.012905337
1993/1/1,-0.004183834,0.125596375,-0.035185156,0.007317072,0.0023,0.0093,0.010998262,0.008698262
1993/2/1,-0.109244235,-0.008474845,-0.023032629,0.077481814,0.0022,0.0012,0.001371986,-0.000828014
1993/3/1,-0.028302206,0.019943385,-0.005893909,0.006741572,0.0025,0.023,0.02335545,0.02085545
1993/4/1,-0.004854063,-0.078212888,-0.109354431,-0.082589328,0.0024,-0.0305,-0.028841368,-0.031241368
1993/5/1,0.104877958,0.30909129,0.094674567,0.055961138,0.0022,0.0289,0.028365681,0.026165681
1993/6/1,-0.302426916,0.013888667,-0.054054096,0.094470018,0.0025,0.0031,0.002482797,-1.72028E-05
1993/7/1,-0.297468803,-0.052511354,0.008571497,0.002105238,0.0024,-0.0034,-0.001413629,-0.003813629
1993/8/1,-0.045046172,-0.079517853,-0.031161517,0.077731097,0.0025,0.0371,0.035620089,0.033120089
1993/9/1,-0.117925505,0.047120415,-0.099415158,-0.005847953,0.0026,-0.0012,6.30307E-05,-0.002536969
1993/10/1,0.315512326,0.024999838,0.029220778,-0.001960796,0.0022,0.0141,0.015413439,0.013213439
1993/11/1,0.024388645,0.097561061,0.047318534,-0.056974443,0.0025,-0.0189,-0.01903586,-0.02153586
1993/12/1,-0.071427556,0.14888896,-0.048192724,-0.012499999,0.0023,0.0165,0.016145978,0.013845978
1994/1/1,0.119657989,0.121856859,-0.012658215,-0.042194076,0.0025,0.0287,0.030108386,0.027608386
1994/2/1,0.114503216,0.017241268,0.067307651,-0.035242378,0.0021,-0.0255,-0.024943298,-0.027043298
1994/3/1,-0.089041495,-0.071186282,-0.021020973,-0.054794478,0.0027,-0.0478,-0.047174389,-0.049874389
1994/4/1,-0.097744842,-0.11496349,0.030674759,0,0.0027,0.0068,0.008307055,0.005607055
1994/5/1,-0.024998413,-0.183505262,0.074404824,0.031400935,0.0031,0.0058,0.006852441,0.003752441
1994/6/1,-0.094018632,-0.055555636,-0.066482026,0.049180408,0.0031,-0.0303,-0.028792228,-0.031892228
1994/7/1,0.271226126,-0.101603945,-0.029673615,0.0111607,0.0028,0.0282,0.028344334,0.025544334
1994/8/1,0.074213464,0.181547091,0.107033729,-0.033112657,0.0037,0.0401,0.041187699,0.037487699
1994/9/1,-0.069086329,0.103274495,-0.071823279,-0.031963455,0.0037,-0.0231,-0.021279428,-0.024979428
1994/10/1,0.282005845,0.100456789,0.08333336,-0.011792354,0.0038,0.0134,0.014842168,0.011042168
1994/11/1,-0.13748337,0.070539689,0.01648355,-0.042959505,0.0037,-0.0404,-0.039279636,-0.042979636
1994/12/1,0.046979906,0.089147146,-0.005405449,-0.007481296,0.0044,0.0086,0.011143335,0.006743335
1995/1/1,0.035257055,-0.049821947,0.016304381,0.090452344,0.0042,0.018,0.019992817,0.015792817
1995/2/1,-0.021670444,0.011235773,-0.040106984,-0.011520804,0.004,0.0363,0.037245758,0.033245758
1995/3/1,-0.107596426,0.129629867,-0.013927588,-0.013986013,0.0046,0.0219,0.024255297,0.019655297
1995/4/1,0.085107329,0.045901525,-0.056497121,0.033096994,0.0044,0.0211,0.023467553,0.019067553
1995/5/1,0.086601585,0.097178774,-0.002994036,0.016018196,0.0054,0.029,0.031158279,0.025758279
1995/6/1,0.117293732,0.155714166,-0.021020973,0.009009102,0.0047,0.0272,0.030035861,0.025335861
